"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"group_3396","hypothetical protein","hypothetical protein","1","1","1","31","5","422","16","","251","251","251","","","BEJGEH_04697","","","","","",""
"Hemolysin expression modulating protein","","Hemolysin expression modulating protein","1","1","1","31","6","422","17","","203","203","203","","","BEJGEH_04698","","","","","",""
"group_3398","hypothetical protein","hypothetical protein","1","1","1","31","7","422","18","","395","395","395","","","BEJGEH_04699","","","","","",""
"group_3399","XRE family transcriptional regulator","XRE family transcriptional regulator","1","1","1","31","8","422","19","","443","443","443","","","BEJGEH_04700","","","","","",""
"group_34","hypothetical protein","hypothetical protein","1","1","1","32","7520","119","1","","203","203","203","GEGEGB_01638","","","","","","","",""
"Putative transposase","","Putative transposase","1","1","1","32","6720","4","89","","767","767","767","","LNHIMF_04684","","","","","","",""
"group_3400","hypothetical protein","hypothetical protein","1","1","1","31","53","422","20","","413","413","413","","","BEJGEH_04701","","","","","",""
"lrgA","","Murein hydrolase transporter LrgA","1","1","1","31","52","422","21","","287","287","287","","","BEJGEH_04702","","","","","",""
"group_3402","hypothetical protein","hypothetical protein","1","1","1","31","51","422","22","","308","308","308","","","BEJGEH_04703","","","","","",""
"TNase-like domain-containing protein","","TNase-like domain-containing protein","1","1","1","31","50","422","23","","500","500","500","","","BEJGEH_04704","","","","","",""
"group_3404","DNA-binding protein","DNA-binding protein","1","1","1","31","49","422","24","","215","215","215","","","BEJGEH_04705","","","","","",""
"group_3405","Periplasmic protein","Periplasmic protein","1","1","1","31","48","422","25","","341","341","341","","","BEJGEH_04706","","","","","",""
"group_3406","hypothetical protein","hypothetical protein","1","1","1","31","47","422","26","","203","203","203","","","BEJGEH_04707","","","","","",""
"group_3407","Lipoprotein","Lipoprotein","1","1","1","31","46","422","27","","569","569","569","","","BEJGEH_04708","","","","","",""
"SprT-like domain-containing protein","","SprT-like domain-containing protein","1","1","1","31","45","422","28","","785","785","785","","","BEJGEH_04709","","","","","",""
"group_3409","hypothetical protein","hypothetical protein","1","1","1","31","44","422","29","","293","293","293","","","BEJGEH_04710","","","","","",""
"group_3410","hypothetical protein","hypothetical protein","1","1","1","31","43","422","30","","338","338","338","","","BEJGEH_04711","","","","","",""
"group_3411","DNA-binding protein","DNA-binding protein","1","1","1","31","42","422","31","","425","425","425","","","BEJGEH_04712","","","","","",""
"group_3412","DNA topoisomerase","DNA topoisomerase","1","1","1","31","41","422","32","","2180","2180","2180","","","BEJGEH_04713","","","","","",""
"group_3413","hypothetical protein","hypothetical protein","1","1","1","31","40","422","33","","401","401","401","","","BEJGEH_04714","","","","","",""
"group_3414","argO","putative ArgO protein (Arginine outward transport, similar to YggA), putative involved in prevention of the accumulation of toxic levels of canavanine","1","1","1","31","39","422","34","","365","365","365","","","BEJGEH_04715","","","","","",""
"traK","","Conjugal transfer protein TraK","1","1","1","31","38","422","35","","2021","2021","2021","","","BEJGEH_04716","","","","","",""
"group_3416","Type IV secretion system protein","Type IV secretion system protein","1","1","1","31","37","422","36","","1061","1061","1061","","","BEJGEH_04717","","","","","",""
"group_3417","traI","Conjugal transfer protein TraI","1","1","1","31","36","422","37","","1226","1226","1226","","","BEJGEH_04718","","","","","",""
"traH","","Conjugal transfer protein TraH","1","1","1","31","35","422","38","","788","788","788","","","BEJGEH_04719","","","","","",""
"group_3419","traG","Conjugal transfer protein TraG","1","1","1","31","34","422","39","","791","791","791","","","BEJGEH_04720","","","","","",""
"putative type IV secretion system protein","","putative type IV secretion system protein","1","1","1","31","33","422","40","","680","680","680","","","BEJGEH_04721","","","","","",""
"group_3421","Conjugal transfer protein","Conjugal transfer protein","1","1","1","31","32","422","41","","2537","2537","2537","","","BEJGEH_04722","","","","","",""
"group_3422","traD","Conjugal transfer protein TraD","1","1","1","31","31","422","42","","398","398","398","","","BEJGEH_04723","","","","","",""
"group_3423","traC","Conjugal transfer protein TraC","1","1","1","31","30","422","43","","317","317","317","","","BEJGEH_04724","","","","","",""
"traB","","Conjugal transfer protein TraB","1","1","1","31","29","422","44","","677","677","677","","","BEJGEH_04725","","","","","",""
"group_3425","hypothetical protein","hypothetical protein","1","1","1","31","28","422","45","","410","410","410","","","BEJGEH_04726","","","","","",""
"group_3426","luxR","Transcritional regulator, LuxR family","1","1","1","31","27","422","46","","503","503","503","","","BEJGEH_04727","","","","","",""
"Plasmid replication protein","","Plasmid replication protein","1","1","1","31","26","422","47","","1064","1064","1064","","","BEJGEH_04728","","","","","",""
"yajA","","YajA protein","1","1","1","31","25","422","48","","248","248","248","","","BEJGEH_04729","","","","","",""
"traA","","Conjugal transfer protein TraA","1","1","1","31","24","422","49","","1052","1052","1052","","","BEJGEH_04730","","","","","",""
"LXG domain-containing protein","","LXG domain-containing protein","1","1","1","31","23","422","50","","581","581","581","","","BEJGEH_04731","","","","","",""
"eexN","","EexN family lipoprotein","1","1","1","31","22","422","51","","257","257","257","","","BEJGEH_04732","","","","","",""
"group_3432","hypothetical protein","hypothetical protein","1","1","1","31","21","422","52","","155","155","155","","","BEJGEH_04733","","","","","",""
"group_3433","hypothetical protein","hypothetical protein","1","1","1","31","20","422","53","","326","326","326","","","BEJGEH_04734","","","","","",""
"ParB/RepB/Spo0J family partition protein","","ParB/RepB/Spo0J family partition protein","1","1","1","31","19","422","11","","980","980","980","","","BEJGEH_04735","","","","","",""
"group_3435","hypothetical protein","hypothetical protein","1","1","1","31","18","422","10","","698","698","698","","","BEJGEH_04736","","","","","",""
"group_3436","hypothetical protein","hypothetical protein","1","1","1","31","17","422","9","","275","275","275","","","BEJGEH_04737","","","","","",""
"group_3437","hypothetical protein","hypothetical protein","1","1","1","31","16","422","8","","353","353","353","","","BEJGEH_04738","","","","","",""
"traM","","Conjugal transfer protein TraM","1","1","1","31","15","422","7","","557","557","557","","","BEJGEH_04739","","","","","",""
"group_3439","traL","Conjugal transfer protein TraL","1","1","1","31","14","422","6","","806","806","806","","","BEJGEH_04740","","","","","",""
"group_344","Integrase catalytic domain-containing protein","Integrase catalytic domain-containing protein","1","1","1","32","6288","1","307","","866","866","866","","","BEJGEH_01065","","","","","",""
"group_3440","hypothetical protein","hypothetical protein","1","1","1","31","13","422","5","","428","428","428","","","BEJGEH_04741","","","","","",""
"ribbon-helix-helix domain-containing protein","","ribbon-helix-helix domain-containing protein","1","1","1","31","12","422","4","","389","389","389","","","BEJGEH_04742","","","","","",""
"group_3442","Relaxase","Relaxase","1","1","1","31","11","422","3","","3605","3605","3605","","","BEJGEH_04743","","","","","",""
"group_3443","Phage protein","Phage protein","1","1","1","31","10","422","2","","212","212","212","","","BEJGEH_04744","","","","","",""
"group_3444","hypothetical protein","hypothetical protein","1","1","1","31","9","422","1","","212","212","212","","","BEJGEH_04745","","","","","",""
"group_3445","hypothetical protein","hypothetical protein","1","1","1","32","3590","74","1","","179","179","179","","","","HFCAGB_00100","","","","",""
"group_3447","D-alanine--D-alanine ligase B","D-alanine--D-alanine ligase B","1","1","1","32","3621","510","1","","857","857","857","","","","HFCAGB_00133","","","","",""
"group_3452","BPSL0067 family protein","BPSL0067 family protein","1","1","1","32","3796","2","2","","386","386","386","","","","HFCAGB_00290","","","","",""
"group_3453","Hcp1 family type VI secretion system effector","Hcp1 family type VI secretion system effector","1","1","1","32","3800","2","77","","485","485","485","","","","HFCAGB_00292","","","","",""
"group_3454","hypothetical protein","hypothetical protein","1","1","1","32","1073","2","54","","437","437","437","","","","HFCAGB_00305","","","","",""
"group_3455","hypothetical protein","hypothetical protein","1","1","1","32","1074","2","53","","128","128","128","","","","HFCAGB_00306","","","","",""
"group_3456","hypothetical protein","hypothetical protein","1","1","1","32","1075","2","52","","92","92","92","","","","HFCAGB_00307","","","","",""
"group_3457","hypothetical protein","hypothetical protein","1","1","1","32","1076","2","51","","338","338","338","","","","HFCAGB_00308","","","","",""
"group_3458","Type IV secretion protein Rhs","Type IV secretion protein Rhs","1","1","1","32","1077","2","64","","446","446","446","","","","HFCAGB_00310","","","","",""
"group_3459","Toxin SymE-like domain-containing protein","Toxin SymE-like domain-containing protein","1","1","1","32","1056","2","65","","257","257","257","","","","HFCAGB_00311","","","","",""
"group_3463","yaiT","Putative uncharacterized protein YaiT","1","1","1","32","1030","532","1","","2945","2945","2945","","","","HFCAGB_00394","","","","",""
"group_3464","hypothetical protein","hypothetical protein","1","1","1","32","1393","530","1","","140","140","140","","","","HFCAGB_00572","","","","",""
"group_3465","Prophage protein","Prophage protein","1","1","1","32","7073","1","1228","","344","344","344","","","","HFCAGB_00583","","","","",""
"group_3466","ClpX-type ZB domain-containing protein","ClpX-type ZB domain-containing protein","1","1","1","32","7074","1","1229","","299","299","299","","","","HFCAGB_00584","","","","",""
"group_3467","DUF550 domain-containing protein","DUF550 domain-containing protein","1","1","1","32","7079","1","715","","1082","1082","1082","","","","HFCAGB_00586","","","","",""
"group_3468","hypothetical protein","hypothetical protein","1","1","1","32","6984","1","781","","176","176","176","","","","HFCAGB_00588","","","","",""
"Eae protein","","Eae protein","1","1","1","32","7065","1","779","","581","581","581","","","","HFCAGB_00590","","","","",""
"group_347","hypothetical protein","hypothetical protein","1","1","1","32","1031","457","2","","1328","1328","1328","","","","","","","IKCLMC_02125","",""
"Anti-RecBCD protein 2","","Anti-RecBCD protein 2","1","1","1","32","7061","1","737","","293","293","293","","","","HFCAGB_00592","","","","",""
"Exonuclease","","Exonuclease","1","1","1","32","7060","1","736","","548","548","548","","","","HFCAGB_00593","","","","",""
"group_3472","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","32","7059","1","735","","506","506","506","","","","HFCAGB_00594","","","","",""
"group_3473","Recombinase","Recombinase","1","1","1","32","7058","1","734","","707","707","707","","","","HFCAGB_00595","","","","",""
"ANR family transcriptional regulator","","ANR family transcriptional regulator","1","1","1","32","7057","1","733","","188","188","188","","","","HFCAGB_00596","","","","",""
"group_3475","Host cell division inhibitory peptide Kil","Host cell division inhibitory peptide Kil","1","1","1","32","7056","1","732","","113","113","113","","","","HFCAGB_00597","","","","",""
"group_3476","hypothetical protein","hypothetical protein","1","1","1","32","7055","1","731","","140","140","140","","","","HFCAGB_00598","","","","",""
"group_3477","Cytoplasmic protein","Cytoplasmic protein","1","1","1","32","6993","1","739","","125","125","125","","","","HFCAGB_00599","","","","",""
"group_3478","hypothetical protein","hypothetical protein","1","1","1","32","6994","1","740","","299","299","299","","","","HFCAGB_00600","","","","",""
"group_3479","Fumarase D","Fumarase D","1","1","1","32","7035","1","760","","209","209","209","","","","HFCAGB_00603","","","","",""
"group_3480","Prophage protein","Prophage protein","1","1","1","32","7034","1","761","","923","923","923","","","","HFCAGB_00604","","","","",""
"group_3483","DNA replication protein gp18","DNA replication protein gp18","1","1","1","32","7024","1","1499","","833","833","833","","","","HFCAGB_00608","","","","",""
"group_3484","hypothetical protein","hypothetical protein","1","1","1","32","7013","1","1506","","872","872","872","","","","HFCAGB_00611","","","","",""
"group_3485","Phage protein","Phage protein","1","1","1","32","7012","1","1507","","281","281","281","","","","HFCAGB_00612","","","","",""
"group_3486","hypothetical protein","hypothetical protein","1","1","1","32","833","1","1479","","203","203","203","","","","HFCAGB_00614","","","","",""
"group_3487","hypothetical protein","hypothetical protein","1","1","1","32","834","1","1525","","92","92","92","","","","HFCAGB_00615","","","","",""
"Phage antiterminator q protein","","Phage antiterminator q protein","1","1","1","32","835","1","1526","","488","488","488","","","","HFCAGB_00616","","","","",""
"Outer membrane protein N","","Outer membrane protein N","1","1","1","32","6293","452","2","","398","398","398","","","","HFCAGB_01219","","","","",""
"group_3490","Spanin, inner membrane subunit","Spanin, inner membrane subunit","1","1","1","32","878","1","1555","","470","470","470","","","","HFCAGB_00619","","","","",""
"Lysine-specific metallo-endopeptidase domain-containing protein","","Lysine-specific metallo-endopeptidase domain-containing protein","1","1","1","32","775","1","1413","","389","389","389","","","","HFCAGB_00622","","","","",""
"Decoration protein","","Decoration protein","1","1","1","32","774","1","1391","","404","404","404","","","","HFCAGB_00623","","","","",""
"DNA-packaging protein","","DNA-packaging protein","1","1","1","32","773","1","1392","","488","488","488","","","","HFCAGB_00624","","","","",""
"group_3494","Terminase, large subunit","Terminase, large subunit","1","1","1","32","772","1","1393","","1499","1499","1499","","","","HFCAGB_00625","","","","",""
"group_3495","Portal protein","Portal protein","1","1","1","32","771","1","1394","","2177","2177","2177","","","","HFCAGB_00626","","","","",""
"group_3496","Scaffolding protein","Scaffolding protein","1","1","1","32","770","1","1395","","911","911","911","","","","HFCAGB_00627","","","","",""
"group_3497","Major capsid protein","Major capsid protein","1","1","1","32","769","1","1396","","1292","1292","1292","","","","HFCAGB_00628","","","","",""
"group_3498","hypothetical protein","hypothetical protein","1","1","1","32","986","1","1397","","560","560","560","","","","HFCAGB_00629","","","","",""
"Packaged DNA stabilization gp4 family protein","","Packaged DNA stabilization gp4 family protein","1","1","1","32","987","1","1398","","500","500","500","","","","HFCAGB_00630","","","","",""
"group_35","hypothetical protein","hypothetical protein","1","1","1","32","1301","132","1","","233","233","233","GEGEGB_02526","","","","","","","",""
"Phage stabilisation protein","","Phage stabilisation protein","1","1","1","32","988","1","1399","","1418","1418","1418","","","","HFCAGB_00631","","","","",""
"group_3501","Phage tail protein","Phage tail protein","1","1","1","32","989","1","1400","","701","701","701","","","","HFCAGB_00632","","","","",""
"Internal virion protein gp7","","Internal virion protein gp7","1","1","1","32","985","1","1387","","689","689","689","","","","HFCAGB_00634","","","","",""
"phage DNA ejection protein","","phage DNA ejection protein","1","1","1","32","984","1","1386","","1304","1304","1304","","","","HFCAGB_00635","","","","",""
"DNA transfer protein","","DNA transfer protein","1","1","1","32","1402","1","1385","","1913","1913","1913","","","","HFCAGB_00636","","","","",""
"group_3505","hypothetical protein","hypothetical protein","1","1","1","32","1403","1","1384","","329","329","329","","","","HFCAGB_00637","","","","",""
"group_3506","Phage protein","Phage protein","1","1","1","32","1404","1","1383","","365","365","365","","","","HFCAGB_00638","","","","",""
"Uncharacterized protein in sieA-mnt intergenic region","","Uncharacterized protein in sieA-mnt intergenic region","1","1","1","32","1405","1","899","","179","179","179","","","","HFCAGB_00639","","","","",""
"Regulatory protein mnt","","Regulatory protein mnt","1","1","1","32","1406","1","900","","251","251","251","","","","HFCAGB_00640","","","","",""
"Tail spike protein","","Tail spike protein","1","1","1","32","1407","1","901","","2003","2003","2003","","","","HFCAGB_00641","","","","",""
"group_3510","gtrB","Uncharacterized protein in gtrB 5'region","1","1","1","32","1408","1","902","","1457","1457","1457","","","","HFCAGB_00642","","","","",""
"group_3511","Prophage bactoprenol-linked glucose translocase-like protein","Prophage bactoprenol-linked glucose translocase-like protein","1","1","1","32","1410","1","904","","362","362","362","","","","HFCAGB_00644","","","","",""
"group_3517","hypothetical protein","hypothetical protein","1","1","1","32","646","1","1323","","170","170","170","","","","HFCAGB_01055","","","","",""
"Glycoside hydrolase family 19 protein","","Glycoside hydrolase family 19 protein","1","1","1","32","6042","1","1364","","614","614","614","","","","HFCAGB_01072","","","","",""
"DUF4238 domain-containing protein","","DUF4238 domain-containing protein","1","1","1","32","725","1","391","","413","413","413","","","","HFCAGB_01074","","","","",""
"group_3520","Terminase small subunit","Terminase small subunit","1","1","1","32","724","1","392","","974","974","974","","","","HFCAGB_01075","","","","",""
"Large terminase","","Large terminase","1","1","1","32","723","1","393","","1271","1271","1271","","","","HFCAGB_01076","","","","",""
"group_3522","DUF1073 domain-containing protein","DUF1073 domain-containing protein","1","1","1","32","722","1","394","","1430","1430","1430","","","","HFCAGB_01077","","","","",""
"Phage head morphogenesis domain-containing protein","","Phage head morphogenesis domain-containing protein","1","1","1","32","721","1","395","","875","875","875","","","","HFCAGB_01078","","","","",""
"Nudix hydrolase domain-containing protein","","Nudix hydrolase domain-containing protein","1","1","1","32","1860","1","396","","1574","1574","1574","","","","HFCAGB_01079","","","","",""
"group_3525","Phage tail protein","Phage tail protein","1","1","1","32","1861","1","397","","872","872","872","","","","HFCAGB_01080","","","","",""
"DUF2184 domain-containing protein","","DUF2184 domain-containing protein","1","1","1","32","1862","1","398","","1031","1031","1031","","","","HFCAGB_01081","","","","",""
"Large polyvalent protein-associated domain-containing protein","","Large polyvalent protein-associated domain-containing protein","1","1","1","32","1863","1","399","","485","485","485","","","","HFCAGB_01082","","","","",""
"group_3528","Bacteriophage protein","Bacteriophage protein","1","1","1","32","1864","1","400","","425","425","425","","","","HFCAGB_01083","","","","",""
"group_3529","Phage protein","Phage protein","1","1","1","32","1865","1","401","","431","431","431","","","","HFCAGB_01084","","","","",""
"group_353","hypothetical protein","hypothetical protein","1","1","1","32","4448","424","9","","356","356","356","","","","HFCAGB_03148","","","","",""
"group_3530","Phage protein","Phage protein","1","1","1","32","1866","1","402","","938","938","938","","","","HFCAGB_01085","","","","",""
"DUF3383 domain-containing protein","","DUF3383 domain-containing protein","1","1","1","32","1867","1","403","","1394","1394","1394","","","","HFCAGB_01086","","","","",""
"group_3532","Phage protein","Phage protein","1","1","1","32","1868","1","404","","437","437","437","","","","HFCAGB_01087","","","","",""
"group_3533","hypothetical protein","hypothetical protein","1","1","1","32","1869","1","405","","587","587","587","","","","HFCAGB_01088","","","","",""
"Lytic transglycosylase domain-containing protein","","Lytic transglycosylase domain-containing protein","1","1","1","32","1870","1","406","","2054","2054","2054","","","","HFCAGB_01089","","","","",""
"group_3535","hypothetical protein","hypothetical protein","1","1","1","32","1871","1","407","","497","497","497","","","","HFCAGB_01090","","","","",""
"group_3536","Cyanophage baseplate Pam3 plug gp18 domain-containing protein","Cyanophage baseplate Pam3 plug gp18 domain-containing protein","1","1","1","32","1872","1","408","","275","275","275","","","","HFCAGB_01091","","","","",""
"group_3537","Phage tail protein","Phage tail protein","1","1","1","32","1873","1","409","","1052","1052","1052","","","","HFCAGB_01092","","","","",""
"group_3538","Phage protein Gp138 N-terminal domain-containing protein","Phage protein Gp138 N-terminal domain-containing protein","1","1","1","32","1874","1","410","","716","716","716","","","","HFCAGB_01093","","","","",""
"group_3539","hypothetical protein","hypothetical protein","1","1","1","32","1875","1","411","","332","332","332","","","","HFCAGB_01094","","","","",""
"group_3540","Baseplate protein J-like domain-containing protein","Baseplate protein J-like domain-containing protein","1","1","1","32","1876","1","412","","1226","1226","1226","","","","HFCAGB_01095","","","","",""
"DUF2612 domain-containing protein","","DUF2612 domain-containing protein","1","1","1","32","1877","1","413","","626","626","626","","","","HFCAGB_01096","","","","",""
"Gifsy-2 prophage protein","","Gifsy-2 prophage protein","1","1","1","32","1859","1","417","","248","248","248","","","","HFCAGB_01102","","","","",""
"group_3549","YCII-related domain-containing protein","YCII-related domain-containing protein","1","1","1","32","894","1","351","","293","293","293","","","","HFCAGB_01183","","","","",""
"group_355","hypothetical protein","hypothetical protein","1","1","1","32","2849","427","7","","434","434","434","","","","HFCAGB_03747","","","","",""
"group_3550","hypothetical protein","hypothetical protein","1","1","1","32","895","1","350","","218","218","218","","","","HFCAGB_01184","","","","",""
"Aec32","","Aec32","1","1","1","32","896","1","338","","479","479","479","","","","HFCAGB_01190","","","","",""
"group_3552","hypothetical protein","hypothetical protein","1","1","1","32","6277","1","318","","110","110","110","","","","HFCAGB_01206","","","","",""
"group_3553","vgrG","Type VI secretion system tip protein VgrG","1","1","1","32","6282","1","316","","2114","2114","2114","","","","HFCAGB_01208","","","","",""
"Type IV secretion protein Rhs","","Type IV secretion protein Rhs","1","1","1","32","6283","1","311","","4277","4277","4277","","","","HFCAGB_01209","","","","",""
"group_3555","hypothetical protein","hypothetical protein","1","1","1","32","6284","1","312","","332","332","332","","","","HFCAGB_01210","","","","",""
"Transposase-like protein","","Transposase-like protein","1","1","1","32","6287","1","309","","539","539","539","","","","HFCAGB_01213","","","","",""
"group_3558","HNH endonuclease","HNH endonuclease","1","1","1","32","6110","1","1335","","428","428","428","","","","HFCAGB_01345","","","","",""
"group_3559","hypothetical protein","hypothetical protein","1","1","1","32","6111","1","1336","","185","185","185","","","","HFCAGB_01346","","","","",""
"Cell division inhibitor protein","","Cell division inhibitor protein","1","1","1","32","6060","1","1245","","206","206","206","","","","HFCAGB_01350","","","","",""
"group_3562","Phage protein","Phage protein","1","1","1","32","6061","1","1246","","275","275","275","","","","HFCAGB_01351","","","","",""
"group_3563","hypothetical protein","hypothetical protein","1","1","1","32","6062","1","1247","","266","266","266","","","","HFCAGB_01352","","","","",""
"group_3564","hypothetical protein","hypothetical protein","1","1","1","32","6063","1","1248","","107","107","107","","","","HFCAGB_01353","","","","",""
"group_3566","ydaT","Bacterial toxin YdaT domain-containing protein","1","1","1","13","1","582","1","Investigate","494","494","494","","","","","","","IKCLMC_00028","",""
"group_3568","dnaT","DnaT DNA-binding domain-containing protein","1","1","1","32","6067","1","1329","","998","998","998","","","","HFCAGB_01357","","","","",""
"group_3570","ninG","Protein ninG","1","1","1","32","674","1","1196","","227","227","227","","","","HFCAGB_01364","","","","",""
"group_3571","Antiterminator","Antiterminator","1","1","1","32","675","1","1195","","647","647","647","","","","HFCAGB_01365","","","","",""
"DUF1851 domain-containing protein","","DUF1851 domain-containing protein","1","1","1","32","676","1","1016","","524","524","524","","","","HFCAGB_01366","","","","",""
"group_3596","hypothetical protein","hypothetical protein","1","1","1","32","6198","1","1148","","125","125","125","","","","HFCAGB_01406","","","","",""
"group_3598","Zinc-regulated secreted antivirulence protein C-terminal domain-containing protein","Zinc-regulated secreted antivirulence protein C-terminal domain-containing protein","1","1","1","32","7500","558","1","","824","824","824","","","","HFCAGB_01610","","","","",""
"group_3599","L-lactate oxidase","L-lactate oxidase","1","1","1","32","74","542","1","","1139","1139","1139","","","","HFCAGB_01663","","","","",""
"group_360","hypothetical protein","hypothetical protein","1","1","1","32","5481","1","270","","335","335","335","","","","HFCAGB_04716","","","","",""
"group_3601","hypothetical protein","hypothetical protein","1","1","1","32","340","509","1","","2114","2114","2114","","","","HFCAGB_01820","","","","",""
"group_3603","ydiM","Inner membrane transport protein YdiM","1","1","1","32","165","318","1","","1142","1142","1142","","","","HFCAGB_01921","","","","",""
"group_3612","yoaI","Uncharacterized protein YoaI","1","1","1","32","536","517","1","","107","107","107","","","","HFCAGB_02010","","","","",""
"group_3618","Periplasmic protein","Periplasmic protein","1","1","1","32","768","1","1381","","434","434","434","","","","HFCAGB_02197","","","","",""
"DUF2570 domain-containing protein","","DUF2570 domain-containing protein","1","1","1","32","767","1","1380","","392","392","392","","","","HFCAGB_02198","","","","",""
"group_3620","Endolysin","Endolysin","1","1","1","32","6229","1","1379","","476","476","476","","","","HFCAGB_02199","","","","",""
"group_3621","Phage holin, lambda family","Phage holin, lambda family","1","1","1","32","6230","1","1378","","347","347","347","","","","HFCAGB_02200","","","","",""
"group_3622","hypothetical protein","hypothetical protein","1","1","1","32","6231","1","1377","","242","242","242","","","","HFCAGB_02201","","","","",""
"group_3623","rusA","Crossover junction endodeoxyribonuclease RusA","1","1","1","32","6966","1","807","","389","389","389","","","","HFCAGB_02205","","","","",""
"group_3624","Site-specific DNA-methyltransferase (adenine-specific)","Site-specific DNA-methyltransferase (adenine-specific)","1","1","1","32","6967","1","806","","881","881","881","","","","HFCAGB_02206","","","","",""
"group_3625","perC","PerC family transcriptional regulator","1","1","1","32","6968","1","805","","473","473","473","","","","HFCAGB_02207","","","","",""
"Phage conserved hypothetical protein C-terminal domain-containing protein","","Phage conserved hypothetical protein C-terminal domain-containing protein","1","1","1","32","6969","1","804","","974","974","974","","","","HFCAGB_02208","","","","",""
"Antirepressor from phage","","Antirepressor from phage","1","1","1","32","6958","1","798","","1142","1142","1142","","","","HFCAGB_02210","","","","",""
"group_3632","hypothetical protein","hypothetical protein","1","1","1","32","6957","1","789","","284","284","284","","","","HFCAGB_02217","","","","",""
"group_3633","hypothetical protein","hypothetical protein","1","1","1","32","6956","1","790","","245","245","245","","","","HFCAGB_02218","","","","",""
"Ead/Ea22-like family protein","","Ead/Ea22-like family protein","1","1","1","32","7092","1","786","","737","737","737","","","","HFCAGB_02222","","","","",""
"group_3635","hypothetical protein","hypothetical protein","1","1","1","32","7095","1","1212","","749","749","749","","","","HFCAGB_02224","","","","",""
"3'-5' exoribonuclease Rv2179c-like domain-containing protein","","3'-5' exoribonuclease Rv2179c-like domain-containing protein","1","1","1","32","7096","1","1211","","569","569","569","","","","HFCAGB_02225","","","","",""
"group_3639","hypothetical protein","hypothetical protein","1","1","1","32","7107","420","52","","497","497","497","","","","HFCAGB_02232","","","","",""
"group_3640","hypothetical protein","hypothetical protein","1","1","1","32","7106","420","53","","329","329","329","","","","HFCAGB_02233","","","","",""
"group_3641","hypothetical protein","hypothetical protein","1","1","1","32","7105","420","54","","608","608","608","","","","HFCAGB_02234","","","","",""
"group_3642","hypothetical protein","hypothetical protein","1","1","1","32","7104","420","55","","881","881","881","","","","HFCAGB_02235","","","","",""
"Prepilin-type N-terminal cleavage/methylation domain-containing protein","","Prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","32","7103","420","56","","1796","1796","1796","","","","HFCAGB_02236","","","","",""
"MobA/MobL protein domain-containing protein","","MobA/MobL protein domain-containing protein","1","1","1","32","6305","420","2","","1520","1520","1520","","","","HFCAGB_02239","","","","",""
"group_3645","DUF2971 domain-containing protein","DUF2971 domain-containing protein","1","1","1","32","6304","420","1","","845","845","845","","","","HFCAGB_02240","","","","",""
"group_3646","Transmembrane protein","Transmembrane protein","1","1","1","32","6303","420","32","","263","263","263","","","","HFCAGB_02241","","","","",""
"virB7","","Type IV secretion system putative lipoprotein virB7","1","1","1","32","6302","420","33","","530","530","530","","","","HFCAGB_02242","","","","",""
"group_3648","hypothetical protein","hypothetical protein","1","1","1","32","6301","420","34","","473","473","473","","","","HFCAGB_02243","","","","",""
"group_3649","Lipoprotein","Lipoprotein","1","1","1","32","6300","420","35","","377","377","377","","","","HFCAGB_02244","","","","",""
"group_3650","hypothetical protein","hypothetical protein","1","1","1","32","6299","420","36","","1610","1610","1610","","","","HFCAGB_02245","","","","",""
"group_3651","Phage protein","Phage protein","1","1","1","32","6296","420","37","","962","962","962","","","","HFCAGB_02246","","","","",""
"group_3652","lysR","LysR family transcriptional regulator","1","1","1","32","6297","420","38","","386","386","386","","","","HFCAGB_02247","","","","",""
"group_3653","hypothetical protein","hypothetical protein","1","1","1","32","6298","420","39","","269","269","269","","","","HFCAGB_02248","","","","",""
"group_3654","Mobilization protein","Mobilization protein","1","1","1","32","6322","420","22","","791","791","791","","","","HFCAGB_02250","","","","",""
"group_3655","DUF4756 domain-containing protein","DUF4756 domain-containing protein","1","1","1","32","6321","420","23","","479","479","479","","","","HFCAGB_02251","","","","",""
"DNA-binding protein H-NS, plasmid","","DNA-binding protein H-NS, plasmid","1","1","1","32","6320","420","24","","404","404","404","","","","HFCAGB_02252","","","","",""
"group_3657","hypothetical protein","hypothetical protein","1","1","1","32","6319","420","25","","152","152","152","","","","HFCAGB_02253","","","","",""
"Adenylyl/Guanylyl and SMODS C-terminal sensor domain-containing protein","","Adenylyl/Guanylyl and SMODS C-terminal sensor domain-containing protein","1","1","1","32","6318","420","26","","1271","1271","1271","","","","HFCAGB_02254","","","","",""
"group_3659","Cytoplasmic protein","Cytoplasmic protein","1","1","1","32","6317","420","27","","296","296","296","","","","HFCAGB_02255","","","","",""
